Species,Sambaquis,Colonial,Present,All_periods,Type,Max_size_cm,Trophic_category,Vertical_position,Habitat_zone,Habitat_use,Habitat_use,Mobility,Group_size,Max_size_class,Threatened_MMA,MMA_Red_List,Threatened_IUCN,Red_list_IUCN,Population_trend
Abudefduf_saxatilis,0,1,1,0,Osteichthyes,22.9,OMNI,2,SH,6,3,2,2,MEDSMALL,0,LC,0,LC,Stable
Acanthistius_brasilianus,0,0,1,0,Osteichthyes,60,MCAR,1,SH,2,1,1,1,LARGE,0,NA,0,DD,Unknown
Acanthocybium_solandri,0,1,1,0,Osteichthyes,250,MCAR,3,SH-OFF,3,2,3,2,LARGE,0,LC,0,LC,Stable
Acanthurus_chirurgus,0,1,1,0,Osteichthyes,39,HERB,2,SH,6,3,2,3,MEDIUM,0,LC,0,LC,Stable
Acanthurus_sp.,0,0,1,0,Osteichthyes,45,HERB,2,SH,7,4,2,3,MEDIUM,0,LC,0,NA,NA
Achirus_declivis,0,0,1,0,Osteichthyes,18.7,INV,1,SH,2,1,1,1,MEDSMALL,0,LC,0,LC,Unknown
Achirus_lineatus,0,0,1,0,Osteichthyes,33.1,INV,1,SH,3,2,1,1,MEDIUM,0,LC,0,LC,Unknown
Aetobatus_narinari,1,1,1,1,Chondrichthyes,230,MCAR,2,SH-OFF,6,3,3,3,LARGE,0,DD,0,NT,Decreasing
Albula_nemoptera,1,1,0,0,Osteichthyes,51,INV,1,SH,4,2,2,3,LARGE,0,LC,0,DD,Unknown
Alectis_ciliaris,0,1,1,0,Osteichthyes,150,PISC,3,SH-OFF,3,2,3,2,LARGE,0,LC,0,LC,Unknown
Alopias_sp.,1,0,0,0,Chondrichthyes,573,MCAR,3,SH-OFF,1,1,3,1,LARGE,1,VU,1,VU,Decreasing
Alopias_superciliosus,1,0,1,0,Chondrichthyes,488,MCAR,3,SH-OFF,1,1,3,1,LARGE,1,VU,1,VU,Decreasing
Alopias_vulpinus,1,0,1,0,Chondrichthyes,573,MCAR,3,SH-OFF,1,1,3,1,LARGE,1,VU,1,VU,Decreasing
