Species,Sambaquis,Colonial,Present,All_periods
Abudefduf_saxatilis,0,1,1,0
Acanthistius_brasilianus,0,0,1,0
Acanthocybium_solandri,0,1,1,0
Acanthurus_chirurgus,0,1,1,0
Acanthurus_sp.,0,0,1,0
Achirus_declivis,0,0,1,0
Achirus_lineatus,0,0,1,0
Aetobatus_narinari,1,1,1,1
Albula_nemoptera,1,1,0,0
Alectis_ciliaris,0,1,1,0
Alopias_sp.,1,0,0,0
Alopias_superciliosus,1,0,1,0
Alopias_vulpinus,1,0,1,0
Aluterus_monoceros,0,0,1,0
Aluterus_sp.,0,0,1,0
Amphichthys_cryptocentrus,0,1,1,0
Anchoa_marinii,0,0,1,0
Anchoa_sp.,0,1,1,0
Anchoa_spinifer,0,0,1,0
Anchoa_tricolor,0,1,1,0
Anchoviella_lepidentostole,0,1,1,0
Anchoviella_sp.,0,0,1,0
Anisotremus_sp.,1,0,0,0
Anisotremus_surinamensis,1,1,1,1
Anisotremus_virginicus,1,1,1,1
Archosargus_probatocephalus,1,0,1,0
Archosargus_rhomboidalis,1,1,1,1
Archosargus_sp.,1,0,0,0
Ariomma_bondi,0,0,1,0
Aspistor_luniscutis,1,0,1,0
Aspistor_sp.,1,0,0,0
Astroscopus_sexspinosus,0,0,1,0
Astroscopus_y-graecum,0,1,1,0
Atherinella_brasiliensis,0,0,1,0
Atlantoraja_castelnaui,0,0,1,0
Atlantoraja_cyclophora,0,0,1,0
Atlantoraja_platana,0,0,1,0
Aulostomus_maculatus,0,0,1,0
Auxis_thazard,0,0,1,0
Awaous_tajasica,0,1,0,0
Bagre_bagre,1,0,1,0
Bagre_marinus,1,0,1,0
Bagre_sp.,1,0,0,0
Bairdiella_goeldi,1,0,1,0
Bairdiella_sp.,0,1,0,0
Balaenoptera_musculus,0,1,0,0
Balaenoptera_physalus,0,1,0,0
Balaenoptera_sp.,1,1,0,0
Balistes_capriscus,1,1,1,1
Balistes_sp.,0,1,1,0
